nl|HET LEELIJKE JONGE EENDJE.Het was heerlijk buiten op het land.
nl|'t Was zomer, het koren was rijp,het hooi stond op de groene weiden aan oppers, en de ooievaar liep opzijn lange, roode pooten en praatte Egyptisch; want deze taal had hijvan zijn moeder geleerd.
nl|Rondom de korenvelden en de weiden warenuitgestrekte bosschen, en midden in de bosschen diepe meren.
nl|Ja,het was werkelijk heerlijk daar buiten op het land!
nl|Door den glansder zon beschenen, stond daar een oud kasteel, dat door een diepegracht omgeven was, en van den muur tot aan het water groeide dichtkreupelhout.
nl|Te midden hiervan zat in haar nest een eend, die haarjongen moest uitbroeden; maar het begon haar bijna te vervelen, zoolang duurde het, eer de jongen uitkwamen; daarbij kreeg zij zeldenbezoek, want de andere eenden zwommen liever in de gracht rond,dan dat zij eens uit het water kwamen om met haar te praten.Eindelijk ging het eene ei na het andere open.
nl|Een gepiep deed zichhooren, en al de dooren van de eieren waren levend geworden en stakende kopjes uit de schalen.«Vlug wat, vlug!» zeide zij; en nu haastten zich al de kleine eendjes,wat zij konden, en zij kwamen uit de eieren te voorschijn en kekennaar alle kanten onder de groene bladeren; en de moeder liet ze kijken,zooveel als zij maar wilden; want groen is goed voor de oogen.«Wat is de wereld toch groot!» zeiden al de jongen; want nu haddenzij heel wat meer plaats dan in het ei.«Denk je, dat dit de heele wereld is?» zei de moeder.
nl|«Die strekt zichnog ver aan den anderen kant van het geboomte uit, tot aan den tuinvan den pastoor; maar daar ben ik nog nooit geweest.--Je bent tochallemaal wel bij elkaar?» vervolgde zij en stond op.
nl|«Neen ik heb zenog niet allemaal; het grootste ei ligt daar nog; hoe lang zal hetnog wel duren, eer dat uitkomt?
nl|Nu begint het mij haast te vervelen!»en zij ging er weer op zitten.«Wel zoo, hoe gaat het?» vroeg een oude eend, die haar eens een bezoekkwam brengen.«Het duurt geducht lang met dat eene ei,» zei de eend, die er nu weerop zat; «het wil maar niet opengaan; maar kijk eens naar de anderen:zijn dat niet de liefste eendjes, die je ooit van je leven gezienhebt?
en|Among them I found two manuscripts, of which thefollowing is one.
en|The other is simply a record of events wherein Mr.Quatermain was not personally concerned--a Zulu novel, the story ofwhich was told to him by the hero many years after the tragedy hadoccurred.
en|But with this we have nothing to do at present.I have often thought (Mr. Quatermain’s manuscript begins) that I wouldset down on paper the events connected with my marriage, and the loss ofmy most dear wife.
en|Many years have now passed since that event, and tosome extent time has softened the old grief, though Heaven knows itis still keen enough.
en|On two or three occasions I have even begun therecord.
en|Once I gave it up because the writing of it depressed me beyondbearing, once because I was suddenly called away upon a journey, andthe third time because a Kaffir boy found my manuscript convenient forlighting the kitchen fire.But now that I am at leisure here in England, I will make a fourthattempt.
en|If I succeed, the story may serve to interest some one in afteryears when I am dead and gone; before that I should not wish it tobe published.
en|It is a wild tale enough, and suggests some curiousreflections.I am the son of a missionary.
en|My father was originally curate in chargeof a small parish in Oxfordshire.
en|He had already been some ten yearsmarried to my dear mother when he went there, and he had four children,of whom I was the youngest.
