nl|HET LEELIJKE JONGE EENDJE.Het was heerlijk buiten op het land.
nl|'t Was zomer, het koren was rijp,het hooi stond op de groene weiden aan oppers, en de ooievaar liep opzijn lange, roode pooten en praatte Egyptisch; want deze taal had hijvan zijn moeder geleerd.
nl|Rondom de korenvelden en de weiden warenuitgestrekte bosschen, en midden in de bosschen diepe meren.
nl|Ja,het was werkelijk heerlijk daar buiten op het land!
nl|Door den glansder zon beschenen, stond daar een oud kasteel, dat door een diepegracht omgeven was, en van den muur tot aan het water groeide dichtkreupelhout.
nl|Te midden hiervan zat in haar nest een eend, die haarjongen moest uitbroeden; maar het begon haar bijna te vervelen, zoolang duurde het, eer de jongen uitkwamen; daarbij kreeg zij zeldenbezoek, want de andere eenden zwommen liever in de gracht rond,dan dat zij eens uit het water kwamen om met haar te praten.Eindelijk ging het eene ei na het andere open.
nl|Een gepiep deed zichhooren, en al de dooren van de eieren waren levend geworden en stakende kopjes uit de schalen.«Vlug wat, vlug!» zeide zij; en nu haastten zich al de kleine eendjes,wat zij konden, en zij kwamen uit de eieren te voorschijn en kekennaar alle kanten onder de groene bladeren; en de moeder liet ze kijken,zooveel als zij maar wilden; want groen is goed voor de oogen.«Wat is de wereld toch groot!» zeiden al de jongen; want nu haddenzij heel wat meer plaats dan in het ei.«Denk je, dat dit de heele wereld is?» zei de moeder.
nl|«Die strekt zichnog ver aan den anderen kant van het geboomte uit, tot aan den tuinvan den pastoor; maar daar ben ik nog nooit geweest.--Je bent tochallemaal wel bij elkaar?» vervolgde zij en stond op.
nl|«Neen ik heb zenog niet allemaal; het grootste ei ligt daar nog; hoe lang zal hetnog wel duren, eer dat uitkomt?
nl|Nu begint het mij haast te vervelen!»en zij ging er weer op zitten.«Wel zoo, hoe gaat het?» vroeg een oude eend, die haar eens een bezoekkwam brengen.«Het duurt geducht lang met dat eene ei,» zei de eend, die er nu weerop zat; «het wil maar niet opengaan; maar kijk eens naar de anderen:zijn dat niet de liefste eendjes, die je ooit van je leven gezienhebt?
nl|Zij lijken allemaal precies op hun vader; maar die ondeugd komtmij niet eens bezoeken.»«Laat mij het ei, dat niet wil opengaan, eens zien!» zei de oudeeend.
nl|«Geloof mij, het is een kalkoenenei!
nl|Ik ben ook eens zoobeetgenomen en had toen heel wat werk met mijn jongen, want zij warenbang voor het water!
nl|Ik kon ze er maar niet in krijgen; hoe ik ookkwakte, het hielp mij niemendal!--Laat mij het ei eens zien!
nl|Ja, datis een kalkoenenei!
nl|Laat dat maar liggen, en leer je andere kinderenliever zwemmen!»«Ik zal er toch nog een beetje op blijven zitten,» antwoordde de eend;«ik heb er nu al zoo lang op gezeten, en dus kan ik er nog wel eenpaar dagen op zitten!»«Je moet het zelf weten,» hernam de oude eend en ging weg.Eindelijk ging het groote ei open.
nl|«Piep, piep!» zei het jong enkroop er uit.
nl|Het was een groot en leelijk beest!
nl|De eend bekeek heteens.
nl|«Wat is dat een verschrikkelijk groot eendje,» dacht zij; «geenvan de anderen ziet er zoo uit.
nl|Zou het misschien een kalkoenschkuikentje zijn?
nl|Nu, daar zullen we wel gauw achter komen; in hetwater moet het, al zou ik het er ook zelf induwen.»Den volgenden dag was het mooi, heerlijk weer; de zon scheen op allegroene bladeren.
nl|De moeder der eendjes ging met haar heele familienaar de gracht toe.
nl|Plof!
nl|daar sprong zij in het water.
nl|«Kwak, kwak!»zeide zij, en het eene eendje na het andere plofte er nu ook in; hetwater spatte hun om den kop, en zij doken even onder, maar kwamen alspoedig weer boven en zwommen uitmuntend; hun pooten gingen van zelf,en allen waren zij in het water; zelfs het leelijke, grauwe eendjezwom mee.«Neen, het is geen kalkoen,» dacht de oude eend; «kijk eens, hoe fermhij met zijn pooten slaat en hoe recht hij zich weet te houden!
nl|'tIs mijn eigen kind!
nl|Eigenlijk is hij toch nog zoo leelijk niet, alsmen hem maar eens goed bekijkt!
nl|Kwak, kwak!
